Encuestadora,link,tipo,Fecha_inicio,Fecha_fin,Poblacion,Ambito,Keiko_Fujimori,Julio_Guzman,Pedro_Pablo_Kuczynski,Cesar_Acuna,Alan_Garcia,Daniel_Urresti,Alejandro_Toledo,Alfredo_Barnechea,Veronika_Mendoza,Renzo_Reggiardo,Hernando_Guerra_Garcia,Lourdes_Flores,Humberto_Lay,Mauricio_Diez_Canseco,Gregorio_Santos,Marco_Arana,Sergio_Tejada,Antero_Flores,Romulo_Mucho,Yehude_Simon,Juan_Eguren,Milton_Von_Hesse,Raul_Castro,Ricardo_Belmont,Vladimir_Cerron,Fernando_Olivera,Miguel_Hilario,Felipe_Castillo,Blanco_viciado,No_sabe_no_opina,Otros_candidatos,Suma
El Comercio Ipsos,http://www.ipsos.pe/sites/default/files/opinion_data/Opinion%20Data%20Enero%202016.pdf,Encuesta,20160112,20160114,1831,N UR,33,5,13,13,8,2,3,,2,2,2,,,,,,,,,,,,,,,,,,6,8,3,100
Datum,http://peru21.pe/politica/pulso-peru-cesar-acuna-baja-12-10-preferencias-electorado-2236620,Encuesta,20160108,20160111,1200,N UR,35,4,14,10,6,3,3,0.2,2,1,0.3,,,,0.8,,,0.2,,0.3,,,,,0.5,,0.2,,4,15,0.5,100
CPI,http://cpi.pe/images/upload/paginaweb/archivo/23/opnac201601_01.pdf,Encuesta,20160109,20160112,1500,N UR,32.1,5,13.1,15.2,7.2,2.2,3.2,,2.3,2,2.2,,,,,,,,,,,,,,1,,,,9.1,3.1,2.3,100
GFK,http://www.gfk.com/fileadmin/user_upload/dyna_content/PE/GfK_OP_Diciembre_2015_-_Gobierno_y_Lima.pdf,Encuesta,20151211,20151215,1267,N UR,30,2,11,8,5,2,3,,2,1,,,,,,,,,,,,,,,,,,,17,19,1,101
El Comercio Ipsos,http://elcomercio.pe/politica/elecciones/elecciones-2016-keiko-primera-y-acuna-esta-3-puntos-ppk-noticia-1863409?flsm=1,Encuesta,20151205,20151211,1846,N UR,33,,16,13,8,2,5,1,2,1,,,,,,,,,,,,,,1,,,,,9,7,2,100
CPI,http://cpi.pe/images/upload/paginaweb/archivo/23/opnac201512_01.pdf,Encuesta,20151207,20151210,1450,N U ,33.1,,17.6,12.1,8.2,2.2,4.8,,2.4,1.6,,,,,,,,,,,,,,,,,,,10.6,4.1,3.3,100
Datum,http://www.datum.com.pe/pdf/PUL1215.pdf,Encuesta,20151127,20151202,1200,N UR,35,,14,12,7,,4,,2,,,,,,,,,1,,,,,,,,,,,17,6,2,100
GFK,https://www.gfk.com/pe/Documents/Publicaciones%202015/Noviembre%202015/GfK%20OP%20Noviembre%202015%20Gobierno%20y%20Lima.pdf,Encuesta,20151120,20151124,1365,N UR,32,1,9,7,6,,3,,1,1,,,,,,,,1,,,,,,,,,,,19,17,3,100
Datum,http://www.datum.com.pe/pdf/PUL1115.pdf,Encuesta,20151029,20151104,1200,N UR,35,0.3,19,9,7,,5,,1,,0.3,,1,,,,0.2,0.2,,,,0.2,0.2,,,,,,13,8,0.6,
El Comercio Ipsos,http://elcomercio.pe/politica/elecciones/cesar-acuna-10-y-alan-garcia-9-disputan-tercer-lugar-noticia-1856323?flsm=1,Encuesta,20151107,20151113,1835,N UR,34,,16,9,9,,5,1,2,1,1,,,,,,,,,,,1,,,,,,,9,8,4,
